"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2012","Angels","2267","6121","187","767","732","134","7.3 %","18.2 %",".159",".311",".274",".332",".433",".331","113","12.9","109.2","45.7","37.5"
"2011","Red Sox","2269","6414","203","875","842","102","9.0 %","17.3 %",".181",".314",".280",".349",".461",".352","117","-12.2","114.3","21.1","36.2"
"2013","Red Sox","2264","6382","178","853","819","123","9.1 %","20.5 %",".169",".329",".277",".349",".446",".347","114","12.1","115.5","6.7","35.9"
"2003","Braves","2362","6378","235","907","872","68","8.5 %","14.6 %",".192",".302",".284",".349",".475",".354","112","9.5","105.3","46.7","35.6"
"2002","Giants","2263","6304","198","784","751","74","9.8 %","15.2 %",".175",".289",".266",".344",".442",".338","109","2.8","73.5","72.1","35.1"
"2007","Phillies","2446","6537","213","892","850","138","9.8 %","18.4 %",".184",".311",".274",".354",".458",".351","105","20.6","63.6","78.5","34.9"
"2011","Rangers","2186","6261","210","855","807","143","7.6 %","14.9 %",".177",".304",".283",".340",".460",".347","112","20.6","107.4","17.2","34.6"
"2010","Reds","2370","6285","188","790","761","93","8.3 %","19.4 %",".164",".314",".272",".338",".436",".340","106","12.7","57.2","80.5","34.5"
"2003","Cardinals","2391","6466","196","876","827","82","9.0 %","14.7 %",".175",".302",".279",".350",".454",".346","109","9.2","83.9","53.5","34.4"
"2007","Yankees","2366","6528","201","968","929","123","9.8 %","15.2 %",".174",".318",".290",".366",".463",".361","119","11.9","168.4","-47.2","33.9"
"2004","Cardinals","2381","6297","214","855","817","111","8.7 %","17.2 %",".182",".307",".278",".344",".460",".344","107","18.9","72.1","60.7","33.6"
"2009","Rays","2345","6223","199","803","765","194","10.3 %","19.7 %",".177",".303",".263",".343",".439",".342","109","21.6","90.5","31.6","33.5"
"2008","Red Sox","2293","6402","173","845","807","120","10.1 %","16.7 %",".168",".315",".280",".358",".447",".351","110","-4.7","72.2","43.3","33.4"
"2009","Yankees","2369","6449","244","915","881","111","10.3 %","15.7 %",".194",".306",".283",".362",".478",".365","117","0.2","137.5","-24.8","33.3"
"2011","Yankees","2301","6306","222","867","836","147","9.9 %","18.0 %",".181",".292",".263",".343",".444",".345","113","6.6","101.6","6.3","33.0"
"2003","Red Sox","2313","6530","238","961","932","88","9.5 %","14.4 %",".202",".307",".289",".360",".491",".364","120","3.5","167.2","-61.5","32.6"
"2008","Cardinals","2396","6370","174","779","744","73","9.1 %","15.5 %",".152",".312",".281",".350",".433",".342","107","-10.0","46.4","72.3","32.4"
"2010","Yankees","2313","6379","201","859","823","103","10.4 %","17.8 %",".169",".300",".267",".350",".436",".346","112","12.1","101.5","-8.1","32.3"
"2014","Dodgers","2364","6231","134","718","686","138","8.3 %","20.0 %",".140",".318",".265",".333",".406",".327","112","-0.8","81.0","25.7","32.0"
"2009","Phillies","2285","6338","224","820","788","119","9.3 %","18.2 %",".189",".286",".258",".334",".447",".339","103","20.0","42.5","68.9","31.5"
